"#pciid","define","family","mobility","igp","nocrtc2","Nointtvout","singledac","name"
"0x9490","RV730_9490","RV730",,,,,,"ATI RV730XT [Radeon HD 4670]"
"0x9491","RV730_9491","RV730",,,,,,"ATI RADEON E4600"
"0x9495","RV730_9495","RV730",,,,,,"ATI Radeon HD 4600 Series"
"0x9498","RV730_9498","RV730",,,,,,"ATI RV730 PRO [Radeon HD 4650]"
"0x949C","RV730_949C","RV730",,,,,,"ATI FirePro V7750 (FireGL)"
"0x949E","RV730_949E","RV730",,,,,,"ATI FirePro V5700 (FireGL)"
"0x949F","RV730_949F","RV730",,,,,,"ATI FirePro V3750 (FireGL)"
"0x94A0","RV740_94A0","RV740",1,,,,,"ATI Mobility Radeon HD 4830"
"0x94A1","RV740_94A1","RV740",1,,,,,"ATI Mobility Radeon HD 4850"
"0x94A3","RV740_94A3","RV740",1,,,,,"ATI FirePro M7740"
"0x94B1","RV740_94B1","RV740",,,,,,"ATI RV740"
"0x94B3","RV740_94B3","RV740",,,,,,"ATI Radeon HD 4770"
"0x94B4","RV740_94B4","RV740",,,,,,"ATI Radeon HD 4700 Series"
"0x94B5","RV740_94B5","RV740",,,,,,"ATI Radeon HD 4770"
"0x94B9","RV740_94B9","RV740",1,,,,,"ATI FirePro M5750"
"0x94C0","RV610_94C0","RV610",,,,,,"ATI RV610"
"0x94C1","RV610_94C1","RV610",,,,,,"ATI Radeon HD 2400 XT"
"0x94C3","RV610_94C3","RV610",,,,,,"ATI Radeon HD 2400 Pro"
"0x94C4","RV610_94C4","RV610",,,,,,"ATI Radeon HD 2400 PRO AGP"
"0x94C5","RV610_94C5","RV610",,,,,,"ATI FireGL V4000"
"0x94C6","RV610_94C6","RV610",,,,,,"ATI RV610"
"0x94C7","RV610_94C7","RV610",,,,,,"ATI Radeon HD 2350"
"0x94C8","RV610_94C8","RV610",1,,,,,"ATI Mobility Radeon HD 2400 XT"
"0x94C9","RV610_94C9","RV610",1,,,,,"ATI Mobility Radeon HD 2400"
"0x94CB","RV610_94CB","RV610",1,,,,,"ATI RADEON E2400"
"0x94CC","RV610_94CC","RV610",,,,,,"ATI RV610"
"0x94CD","RV610_94CD","RV610",,,,,,"ATI FireMV 2260"
"0x9500","RV670_9500","RV670",,,,,,"ATI RV670"
"0x9501","RV670_9501","RV670",,,,,,"ATI Radeon HD3870"
"0x9504","RV670_9504","RV670",1,,,,,"ATI Mobility Radeon HD 3850"
"0x9505","RV670_9505","RV670",,,,,,"ATI Radeon HD3850"
"0x9506","RV670_9506","RV670",1,,,,,"ATI Mobility Radeon HD 3850 X2"
"0x9507","RV670_9507","RV670",,,,,,"ATI RV670"
"0x9508","RV670_9508","RV670",1,,,,,"ATI Mobility Radeon HD 3870"
"0x9509","RV670_9509","RV670",1,,,,,"ATI Mobility Radeon HD 3870 X2"
"0x950F","RV670_950F","RV670",,,,,,"ATI Radeon HD3870 X2"
"0x9511","RV670_9511","RV670",,,,,,"ATI FireGL V7700"
"0x9515","RV670_9515","RV670",,,,,,"ATI Radeon HD3850"
"0x9517","RV670_9517","RV670",,,,,,"ATI Radeon HD3690"
"0x9519","RV670_9519","RV670",,,,,,"AMD Firestream 9170"
"0x9540","RV710_9540","RV710",,,,,,"ATI Radeon HD 4550"
"0x9541","RV710_9541","RV710",,,,,,"ATI Radeon RV710"
"0x9542","RV710_9542","RV710",,,,,,"ATI Radeon RV710"
"0x954E","RV710_954E","RV710",,,,,,"ATI Radeon RV710"
"0x954F","RV710_954F","RV710",,,,,,"ATI Radeon HD 4350"
"0x9552","RV710_9552","RV710",1,,,,,"ATI Mobility Radeon 4300 Series"
"0x9553","RV710_9553","RV710",1,,,,,"ATI Mobility Radeon 4500 Series"
"0x9555","RV710_9555","RV710",1,,,,,"ATI Mobility Radeon 4500 Series"
"0x9557","RV710_9557","RV710",1,,,,,"ATI FirePro RG220"
"0x955F","RV710_955F","RV710",1,,,,,"ATI Mobility Radeon 4330"
"0x9580","RV630_9580","RV630",,,,,,"ATI RV630"
"0x9581","RV630_9581","RV630",1,,,,,"ATI Mobility Radeon HD 2600"
"0x9583","RV630_9583","RV630",1,,,,,"ATI Mobility Radeon HD 2600 XT"
"0x9586","RV630_9586","RV630",,,,,,"ATI Radeon HD 2600 XT AGP"
"0x9587","RV630_9587","RV630",,,,,,"ATI Radeon HD 2600 Pro AGP"
"0x9588","RV630_9588","RV630",,,,,,"ATI Radeon HD 2600 XT"
"0x9589","RV630_9589","RV630",,,,,,"ATI Radeon HD 2600 Pro"
"0x958A","RV630_958A","RV630",,,,,,"ATI Gemini RV630"
"0x958B","RV630_958B","RV630",1,,,,,"ATI Gemini Mobility Radeon HD 2600 XT"
"0x958C","RV630_958C","RV630",,,,,,"ATI FireGL V5600"
"0x958D","RV630_958D","RV630",,,,,,"ATI FireGL V3600"
"0x958E","RV630_958E","RV630",,,,,,"ATI Radeon HD 2600 LE"
"0x958F","RV630_958F","RV630",1,,,,,"ATI Mobility FireGL Graphics Processor"
"0x95C0","RV620_95C0","RV620",,,,,,"ATI Radeon HD 3470"
"0x95C2","RV620_95C2","RV620",1,,,,,"ATI Mobility Radeon HD 3430"
"0x95C4","RV620_95C4","RV620",1,,,,,"ATI Mobility Radeon HD 3400 Series"
"0x95C5","RV620_95C5","RV620",,,,,,"ATI Radeon HD 3450"
"0x95C6","RV620_95C6","RV620",,,,,,"ATI Radeon HD 3450"
"0x95C7","RV620_95C7","RV620",,,,,,"ATI Radeon HD 3430"
"0x95C9","RV620_95C9","RV620",,,,,,"ATI Radeon HD 3450"
"0x95CC","RV620_95CC","RV620",,,,,,"ATI FirePro V3700"
"0x95CD","RV620_95CD","RV620",,,,,,"ATI FireMV 2450"
"0x95CE","RV620_95CE","RV620",,,,,,"ATI FireMV 2260"
"0x95CF","RV620_95CF","RV620",,,,,,"ATI FireMV 2260"
"0x9590","RV635_9590","RV635",,,,,,"ATI Radeon HD 3600 Series"
"0x9596","RV635_9596","RV635",,,,,,"ATI Radeon HD 3650 AGP"
"0x9597","RV635_9597","RV635",,,,,,"ATI Radeon HD 3600 PRO"
"0x9598","RV635_9598","RV635",,,,,,"ATI Radeon HD 3600 XT"
"0x9599","RV635_9599","RV635",,,,,,"ATI Radeon HD 3600 PRO"
"0x9591","RV635_9591","RV635",1,,,,,"ATI Mobility Radeon HD 3650"
"0x9593","RV635_9593","RV635",1,,,,,"ATI Mobility Radeon HD 3670"
"0x9595","RV635_9595","RV635",1,,,,,"ATI Mobility FireGL V5700"
"0x959B","RV635_959B","RV635",1,,,,,"ATI Mobility FireGL V5725"
"0x9610","RS780_9610","RS780",,1,,,1,"ATI Radeon HD 3200 Graphics"
"0x9611","RS780_9611","RS780",,1,,,1,"ATI Radeon 3100 Graphics"
"0x9612","RS780_9612","RS780",,1,,,1,"ATI Radeon HD 3200 Graphics"
"0x9613","RS780_9613","RS780",,1,,,1,"ATI Radeon 3100 Graphics"
"0x9614","RS780_9614","RS780",,1,,,1,"ATI Radeon HD 3300 Graphics"
"0x9615","RS780_9615","RS780",,1,,,1,"ATI Radeon HD 3200 Graphics"
"0x9616","RS780_9616","RS780",,1,,,1,"ATI Radeon 3000 Graphics"
"0x9640","SUMO_9640","SUMO",,1,,,1,"SUMO"
"0x9641","SUMO_9641","SUMO",1,1,,,1,"SUMO"
"0x9642","SUMO2_9642","SUMO2",,1,,,1,"SUMO2"
"0x9643","SUMO2_9643","SUMO2",1,1,,,1,"SUMO2"
"0x9644","SUMO2_9644","SUMO2",,1,,,1,"SUMO2"
"0x9645","SUMO2_9645","SUMO2",1,1,,,1,"SUMO2"
"0x9647","SUMO_9647","SUMO",1,1,,,1,"SUMO"
"0x9648","SUMO_9648","SUMO",1,1,,,1,"SUMO"
"0x9649","SUMO2_9649","SUMO2",1,1,,,1,"SUMO2"
"0x964A","SUMO_964A","SUMO",,1,,,1,"SUMO"
"0x964B","SUMO_964B","SUMO",,1,,,1,"SUMO"
"0x964C","SUMO_964C","SUMO",,1,,,1,"SUMO"
"0x964E","SUMO_964E","SUMO",1,1,,,1,"SUMO"
"0x964F","SUMO_964F","SUMO",1,1,,,1,"SUMO"
"0x9710","RS880_9710","RS880",,1,,,1,"ATI Radeon HD 4200"
"0x9711","RS880_9711","RS880",,1,,,1,"ATI Radeon 4100"
"0x9712","RS880_9712","RS880",1,1,,,1,"ATI Mobility Radeon HD 4200"
"0x9713","RS880_9713","RS880",1,1,,,1,"ATI Mobility Radeon 4100"
"0x9714","RS880_9714","RS880",,1,,,1,"ATI Radeon HD 4290"
"0x9715","RS880_9715","RS880",,1,,,1,"ATI Radeon HD 4250"
"0x9802","PALM_9802","PALM",,1,,,1,"AMD Radeon HD 6310 Graphics"
"0x9803","PALM_9803","PALM",,1,,,1,"AMD Radeon HD 6310 Graphics"
"0x9804","PALM_9804","PALM",,1,,,1,"AMD Radeon HD 6250 Graphics"
"0x9805","PALM_9805","PALM",,1,,,1,"AMD Radeon HD 6250 Graphics"
"0x9806","PALM_9806","PALM",,1,,,1,"AMD Radeon HD 6300 Series Graphics"
"0x9807","PALM_9807","PALM",,1,,,1,"AMD Radeon HD 6200 Series Graphics"
"0x9808","PALM_9808","PALM",,1,,,1,"PALM"
"0x9809","PALM_9809","PALM",,1,,,1,"PALM"
"0x980A","PALM_980A","PALM",,1,,,1,"PALM"
"0x6880","CYPRESS_6880","CYPRESS",1,,,,,"CYPRESS"
"0x6888","CYPRESS_6888","CYPRESS",,,,,,"ATI FirePro (FireGL) Graphics Adapter"
"0x6889","CYPRESS_6889","CYPRESS",,,,,,"ATI FirePro (FireGL) Graphics Adapter"
"0x688A","CYPRESS_688A","CYPRESS",,,,,,"ATI FirePro (FireGL) Graphics Adapter"
"0x688C","CYPRESS_688C","CYPRESS",,,,,,"AMD Firestream 9370"
"0x688D","CYPRESS_688D","CYPRESS",,,,,,"AMD Firestream 9350"
"0x6898","CYPRESS_6898","CYPRESS",,,,,,"ATI Radeon HD 5800 Series"
"0x6899","CYPRESS_6899","CYPRESS",,,,,,"ATI Radeon HD 5800 Series"
"0x689B","CYPRESS_689B","CYPRESS",,,,,,"ATI Radeon HD 5800 Series"
"0x689E","CYPRESS_689E","CYPRESS",,,,,,"ATI Radeon HD 5800 Series"
"0x689C","HEMLOCK_689C","HEMLOCK",,,,,,"ATI Radeon HD 5900 Series"
"0x689D","HEMLOCK_689D","HEMLOCK",,,,,,"ATI Radeon HD 5900 Series"
"0x68A0","JUNIPER_68A0","JUNIPER",1,,,,,"ATI Mobility Radeon HD 5800 Series"
"0x68A1","JUNIPER_68A1","JUNIPER",1,,,,,"ATI Mobility Radeon HD 5800 Series"
"0x68A8","JUNIPER_68A8","JUNIPER",,,,,,"ATI FirePro (FireGL) Graphics Adapter"
"0x68A9","JUNIPER_68A9","JUNIPER",,,,,,"ATI FirePro (FireGL) Graphics Adapter"
"0x68B0","JUNIPER_68B0","JUNIPER",1,,,,,"ATI Mobility Radeon HD 5800 Series"
"0x68B8","JUNIPER_68B8","JUNIPER",,,,,,"ATI Radeon HD 5700 Series"
"0x68B9","JUNIPER_68B9","JUNIPER",,,,,,"ATI Radeon HD 5700 Series"
"0x68BA","JUNIPER_68BA","JUNIPER",,,,,,"ATI Radeon HD 6700 Series"
"0x68BE","JUNIPER_68BE","JUNIPER",,,,,,"ATI Radeon HD 5700 Series"
"0x68BF","JUNIPER_68BF","JUNIPER",,,,,,"ATI Radeon HD 6700 Series"
"0x68C0","REDWOOD_68C0","REDWOOD",1,,,,,"ATI Mobility Radeon HD 5000 Series"
"0x68C1","REDWOOD_68C1","REDWOOD",1,,,,,"ATI Mobility Radeon HD 5000 Series"
"0x68C7","REDWOOD_68C7","REDWOOD",1,,,,,"ATI Mobility Radeon HD 5570"
"0x68C8","REDWOOD_68C8","REDWOOD",,,,,,"ATI FirePro (FireGL) Graphics Adapter"
"0x68C9","REDWOOD_68C9","REDWOOD",,,,,,"ATI FirePro (FireGL) Graphics Adapter"
"0x68D8","REDWOOD_68D8","REDWOOD",,,,,,"ATI Radeon HD 5670"
"0x68D9","REDWOOD_68D9","REDWOOD",,,,,,"ATI Radeon HD 5570"
"0x68DA","REDWOOD_68DA","REDWOOD",,,,,,"ATI Radeon HD 5500 Series"
"0x68DE","REDWOOD_68DE","REDWOOD",,,,,,"REDWOOD"
"0x68E0","CEDAR_68E0","CEDAR",1,,,,,"ATI Mobility Radeon HD 5000 Series"
"0x68E1","CEDAR_68E1","CEDAR",1,,,,,"ATI Mobility Radeon HD 5000 Series"
"0x68E4","CEDAR_68E4","CEDAR",1,,,,,"ATI Mobility Radeon Graphics"
"0x68E5","CEDAR_68E5","CEDAR",1,,,,,"ATI Mobility Radeon Graphics"
"0x68E8","CEDAR_68E8","CEDAR",,,,,,"CEDAR"
"0x68E9","CEDAR_68E9","CEDAR",,,,,,"ATI FirePro (FireGL) Graphics Adapter"
"0x68F1","CEDAR_68F1","CEDAR",,,,,,"ATI FirePro (FireGL) Graphics Adapter"
"0x68F2","CEDAR_68F2","CEDAR",,,,,,"ATI FirePro 2270"
"0x68F8","CEDAR_68F8","CEDAR",,,,,,"CEDAR"
"0x68F9","CEDAR_68F9","CEDAR",,,,,,"ATI Radeon HD 5450"
"0x68FA","CEDAR_68FA","CEDAR",,,,,,"CEDAR"
"0x68FE","CEDAR_68FE","CEDAR",,,,,,"CEDAR"
"0x6700","CAYMAN_6700","CAYMAN",,,,,,"CAYMAN"
"0x6701","CAYMAN_6701","CAYMAN",,,,,,"CAYMAN"
"0x6702","CAYMAN_6702","CAYMAN",,,,,,"CAYMAN"
"0x6703","CAYMAN_6703","CAYMAN",,,,,,"CAYMAN"
"0x6704","CAYMAN_6704","CAYMAN",,,,,,"CAYMAN"
"0x6705","CAYMAN_6705","CAYMAN",,,,,,"CAYMAN"
"0x6706","CAYMAN_6706","CAYMAN",,,,,,"CAYMAN"
"0x6707","CAYMAN_6707","CAYMAN",,,,,,"CAYMAN"
"0x6708","CAYMAN_6708","CAYMAN",,,,,,"CAYMAN"
"0x6709","CAYMAN_6709","CAYMAN",,,,,,"CAYMAN"
"0x6718","CAYMAN_6718","CAYMAN",,,,,,"AMD Radeon HD 6900 Series"
"0x6719","CAYMAN_6719","CAYMAN",,,,,,"AMD Radeon HD 6900 Series"
"0x671C","CAYMAN_671C","CAYMAN",,,,,,"CAYMAN"
"0x671D","CAYMAN_671D","CAYMAN",,,,,,"CAYMAN"
"0x671F","CAYMAN_671F","CAYMAN",,,,,,"CAYMAN"
"0x6720","BARTS_6720","BARTS",1,,,,,"AMD Radeon HD 6900M Series"
"0x6721","BARTS_6721","BARTS",1,,,,,"Mobility Radeon HD 6000 Series"
"0x6722","BARTS_6722","BARTS",,,,,,"BARTS"
"0x6723","BARTS_6723","BARTS",,,,,,"BARTS"
"0x6724","BARTS_6724","BARTS",1,,,,,"Mobility Radeon HD 6000 Series"
"0x6725","BARTS_6725","BARTS",1,,,,,"Mobility Radeon HD 6000 Series"
"0x6726","BARTS_6726","BARTS",,,,,,"BARTS"
"0x6727","BARTS_6727","BARTS",,,,,,"BARTS"
"0x6728","BARTS_6728","BARTS",,,,,,"BARTS"
"0x6729","BARTS_6729","BARTS",,,,,,"BARTS"
"0x6738","BARTS_6738","BARTS",,,,,,"AMD Radeon HD 6800 Series"
"0x6739","BARTS_6739","BARTS",,,,,,"AMD Radeon HD 6800 Series"
"0x673E","BARTS_673E","BARTS",,,,,,"AMD Radeon HD 6700 Series"
"0x6740","TURKS_6740","TURKS",1,,,,,"TURKS"
"0x6741","TURKS_6741","TURKS",1,,,,,"TURKS"
"0x6742","TURKS_6742","TURKS",1,,,,,"TURKS"
"0x6743","TURKS_6743","TURKS",1,,,,,"TURKS"
"0x6744","TURKS_6744","TURKS",1,,,,,"TURKS"
"0x6745","TURKS_6745","TURKS",1,,,,,"TURKS"
"0x6746","TURKS_6746","TURKS",,,,,,"TURKS"
"0x6747","TURKS_6747","TURKS",,,,,,"TURKS"
"0x6748","TURKS_6748","TURKS",,,,,,"TURKS"
"0x6749","TURKS_6749","TURKS",,,,,,"TURKS"
"0x674A","TURKS_674A","TURKS",,,,,,"TURKS"
"0x6750","TURKS_6750","TURKS",,,,,,"TURKS"
"0x6751","TURKS_6751","TURKS",,,,,,"TURKS"
"0x6758","TURKS_6758","TURKS",,,,,,"TURKS"
"0x6759","TURKS_6759","TURKS",,,,,,"TURKS"
"0x675B","TURKS_675B","TURKS",,,,,,"TURKS"
"0x675D","TURKS_675D","TURKS",,,,,,"TURKS"
"0x675F","TURKS_675F","TURKS",,,,,,"TURKS"
"0x6840","TURKS_6840","TURKS",1,,,,,"TURKS"
"0x6841","TURKS_6841","TURKS",1,,,,,"TURKS"
"0x6842","TURKS_6842","TURKS",1,,,,,"TURKS"
"0x6843","TURKS_6843","TURKS",1,,,,,"TURKS"
"0x6849","TURKS_6849","TURKS",,,,,,"TURKS"
"0x6850","TURKS_6850","TURKS",,,,,,"TURKS"
"0x6858","TURKS_6858","TURKS",,,,,,"TURKS"
"0x6859","TURKS_6859","TURKS",,,,,,"TURKS"
"0x6760","CAICOS_6760","CAICOS",1,,,,,"CAICOS"
"0x6761","CAICOS_6761","CAICOS",1,,,,,"CAICOS"
"0x6762","CAICOS_6762","CAICOS",,,,,,"CAICOS"
"0x6763","CAICOS_6763","CAICOS",,,,,,"CAICOS"
"0x6764","CAICOS_6764","CAICOS",1,,,,,"CAICOS"
"0x6765","CAICOS_6765","CAICOS",1,,,,,"CAICOS"
"0x6766","CAICOS_6766","CAICOS",,,,,,"CAICOS"
"0x6767","CAICOS_6767","CAICOS",,,,,,"CAICOS"
"0x6768","CAICOS_6768","CAICOS",,,,,,"CAICOS"
"0x6770","CAICOS_6770","CAICOS",,,,,,"CAICOS"
"0x6771","CAICOS_6771","CAICOS",,,,,,"CAICOS"
"0x6772","CAICOS_6772","CAICOS",,,,,,"CAICOS"
"0x6778","CAICOS_6778","CAICOS",,,,,,"CAICOS"
"0x6779","CAICOS_6779","CAICOS",,,,,,"CAICOS"
"0x677B","CAICOS_677B","CAICOS",,,,,,"CAICOS"
"0x9900","ARUBA_9900","ARUBA",1,1,,,,"ARUBA"
"0x9901","ARUBA_9901","ARUBA",,1,,,,"ARUBA"
"0x9903","ARUBA_9903","ARUBA",1,1,,,,"ARUBA"
"0x9904","ARUBA_9904","ARUBA",,1,,,,"ARUBA"
"0x9905","ARUBA_9905","ARUBA",,1,,,,"ARUBA"
"0x9906","ARUBA_9906","ARUBA",,1,,,,"ARUBA"
"0x9907","ARUBA_9907","ARUBA",1,1,,,,"ARUBA"
"0x9908","ARUBA_9908","ARUBA",1,1,,,,"ARUBA"
"0x9909","ARUBA_9909","ARUBA",1,1,,,,"ARUBA"
"0x990A","ARUBA_990A","ARUBA",1,1,,,,"ARUBA"
"0x990B","ARUBA_990B","ARUBA",1,1,,,,"ARUBA"
"0x990C","ARUBA_990C","ARUBA",,1,,,,"ARUBA"
"0x990D","ARUBA_990D","ARUBA",1,1,,,,"ARUBA"
"0x990E","ARUBA_990E","ARUBA",,1,,,,"ARUBA"
"0x990F","ARUBA_990F","ARUBA",1,1,,,,"ARUBA"
"0x9910","ARUBA_9910","ARUBA",1,1,,,,"ARUBA"
"0x9913","ARUBA_9913","ARUBA",1,1,,,,"ARUBA"
"0x9917","ARUBA_9917","ARUBA",,1,,,,"ARUBA"
"0x9918","ARUBA_9918","ARUBA",,1,,,,"ARUBA"
"0x9919","ARUBA_9919","ARUBA",,1,,,,"ARUBA"
"0x9990","ARUBA_9990","ARUBA",1,1,,,,"ARUBA"
"0x9991","ARUBA_9991","ARUBA",,1,,,,"ARUBA"
"0x9992","ARUBA_9992","ARUBA",1,1,,,,"ARUBA"
"0x9993","ARUBA_9993","ARUBA",,1,,,,"ARUBA"
"0x9994","ARUBA_9994","ARUBA",1,1,,,,"ARUBA"
"0x9995","ARUBA_9995","ARUBA",1,1,,,,"ARUBA"
"0x9996","ARUBA_9996","ARUBA",,1,,,,"ARUBA"
"0x9997","ARUBA_9997","ARUBA",1,1,,,,"ARUBA"
"0x9998","ARUBA_9998","ARUBA",,1,,,,"ARUBA"
"0x9999","ARUBA_9999","ARUBA",1,1,,,,"ARUBA"
"0x999A","ARUBA_999A","ARUBA",1,1,,,,"ARUBA"
"0x999B","ARUBA_999B","ARUBA",1,1,,,,"ARUBA"
"0x999C","ARUBA_999C","ARUBA",,1,,,,"ARUBA"
"0x999D","ARUBA_999D","ARUBA",,1,,,,"ARUBA"
"0x99A0","ARUBA_99A0","ARUBA",1,1,,,,"ARUBA"
"0x99A2","ARUBA_99A2","ARUBA",1,1,,,,"ARUBA"
"0x99A4","ARUBA_99A4","ARUBA",,1,,,,"ARUBA"
"0x6780","TAHITI_6780","TAHITI",,,,,,"TAHITI"
"0x6784","TAHITI_6784","TAHITI",,,,,,"TAHITI"
"0x6788","TAHITI_6788","TAHITI",,,,,,"TAHITI"
"0x678A","TAHITI_678A","TAHITI",,,,,,"TAHITI"
"0x6790","TAHITI_6790","TAHITI",,,,,,"TAHITI"
"0x6791","TAHITI_6791","TAHITI",,,,,,"TAHITI"
"0x6792","TAHITI_6792","TAHITI",,,,,,"TAHITI"
"0x6798","TAHITI_6798","TAHITI",,,,,,"TAHITI"
"0x6799","TAHITI_6799","TAHITI",,,,,,"TAHITI"
"0x679A","TAHITI_679A","TAHITI",,,,,,"TAHITI"
"0x679B","TAHITI_679B","TAHITI",,,,,,"TAHITI"
"0x679E","TAHITI_679E","TAHITI",,,,,,"TAHITI"
"0x679F","TAHITI_679F","TAHITI",,,,,,"TAHITI"
"0x6800","PITCAIRN_6800","PITCAIRN",1,,,,,"PITCAIRN"
"0x6801","PITCAIRN_6801","PITCAIRN",1,,,,,"PITCAIRN"
"0x6802","PITCAIRN_6802","PITCAIRN",1,,,,,"PITCAIRN"
"0x6806","PITCAIRN_6806","PITCAIRN",,,,,,"PITCAIRN"
"0x6808","PITCAIRN_6808","PITCAIRN",,,,,,"PITCAIRN"
"0x6809","PITCAIRN_6809","PITCAIRN",,,,,,"PITCAIRN"
"0x6810","PITCAIRN_6810","PITCAIRN",,,,,,"PITCAIRN"
"0x6811","PITCAIRN_6811","PITCAIRN",,,,,,"PITCAIRN"
"0x6816","PITCAIRN_6816","PITCAIRN",,,,,,"PITCAIRN"
"0x6817","PITCAIRN_6817","PITCAIRN",,,,,,"PITCAIRN"
"0x6818","PITCAIRN_6818","PITCAIRN",,,,,,"PITCAIRN"
"0x6819","PITCAIRN_6819","PITCAIRN",,,,,,"PITCAIRN"
"0x684C","PITCAIRN_684C","PITCAIRN",,,,,,"PITCAIRN"
"0x6820","VERDE_6820","VERDE",1,,,,,"VERDE"
"0x6821","VERDE_6821","VERDE",1,,,,,"VERDE"
"0x6822","VERDE_6822","VERDE",1,,,,,"VERDE"
"0x6823","VERDE_6823","VERDE",1,,,,,"VERDE"
"0x6824","VERDE_6824","VERDE",1,,,,,"VERDE"
"0x6825","VERDE_6825","VERDE",1,,,,,"VERDE"
"0x6826","VERDE_6826","VERDE",1,,,,,"VERDE"
"0x6827","VERDE_6827","VERDE",1,,,,,"VERDE"
"0x6828","VERDE_6828","VERDE",,,,,,"VERDE"
"0x6829","VERDE_6829","VERDE",,,,,,"VERDE"
"0x682A","VERDE_682A","VERDE",1,,,,,"VERDE"
"0x682B","VERDE_682B","VERDE",1,,,,,"VERDE"
"0x682C","VERDE_682C","VERDE",,,,,,"VERDE"
"0x682D","VERDE_682D","VERDE",1,,,,,"VERDE"
"0x682F","VERDE_682F","VERDE",1,,,,,"VERDE"
"0x6830","VERDE_6830","VERDE",1,,,,,"VERDE"
"0x6831","VERDE_6831","VERDE",1,,,,,"VERDE"
"0x6835","VERDE_6835","VERDE",,,,,,"VERDE"
"0x6837","VERDE_6837","VERDE",,,,,,"VERDE"
"0x6838","VERDE_6838","VERDE",,,,,,"VERDE"
"0x6839","VERDE_6839","VERDE",,,,,,"VERDE"
"0x683B","VERDE_683B","VERDE",,,,,,"VERDE"
"0x683D","VERDE_683D","VERDE",,,,,,"VERDE"
"0x683F","VERDE_683F","VERDE",,,,,,"VERDE"
"0x6600","OLAND_6600","OLAND",1,,,,,"OLAND"
"0x6601","OLAND_6601","OLAND",1,,,,,"OLAND"
"0x6602","OLAND_6602","OLAND",1,,,,,"OLAND"
"0x6603","OLAND_6603","OLAND",1,,,,,"OLAND"
"0x6604","OLAND_6604","OLAND",1,,,,,"OLAND"
"0x6605","OLAND_6605","OLAND",1,,,,,"OLAND"
"0x6606","OLAND_6606","OLAND",1,,,,,"OLAND"
"0x6607","OLAND_6607","OLAND",1,,,,,"OLAND"
"0x6608","OLAND_6608","OLAND",,,,,,"OLAND"
"0x6610","OLAND_6610","OLAND",,,,,,"OLAND"
"0x6611","OLAND_6611","OLAND",,,,,,"OLAND"
"0x6613","OLAND_6613","OLAND",,,,,,"OLAND"
"0x6617","OLAND_6617","OLAND",1,,,,,"OLAND"
"0x6620","OLAND_6620","OLAND",1,,,,,"OLAND"
"0x6621","OLAND_6621","OLAND",1,,,,,"OLAND"
"0x6623","OLAND_6623","OLAND",1,,,,,"OLAND"
"0x6631","OLAND_6631","OLAND",,,,,,"OLAND"
"0x6660","HAINAN_6660","HAINAN",1,,,,,"HAINAN"
"0x6663","HAINAN_6663","HAINAN",1,,,,,"HAINAN"
"0x6664","HAINAN_6664","HAINAN",1,,,,,"HAINAN"
"0x6665","HAINAN_6665","HAINAN",1,,,,,"HAINAN"
"0x6667","HAINAN_6667","HAINAN",1,,,,,"HAINAN"
"0x666F","HAINAN_666F","HAINAN",1,,,,,"HAINAN"
"0x6640","BONAIRE_6640","BONAIRE",1,,,,,"BONAIRE"
"0x6641","BONAIRE_6641","BONAIRE",1,,,,,"BONAIRE"
"0x6646","BONAIRE_6646","BONAIRE",1,,,,,"BONAIRE"
"0x6647","BONAIRE_6647","BONAIRE",1,,,,,"BONAIRE"
"0x6649","BONAIRE_6649","BONAIRE",,,,,,"BONAIRE"
"0x6650","BONAIRE_6650","BONAIRE",,,,,,"BONAIRE"
"0x6651","BONAIRE_6651","BONAIRE",,,,,,"BONAIRE"
"0x6658","BONAIRE_6658","BONAIRE",,,,,,"BONAIRE"
"0x665C","BONAIRE_665C","BONAIRE",,,,,,"BONAIRE"
"0x665D","BONAIRE_665D","BONAIRE",,,,,,"BONAIRE"
"0x665F","BONAIRE_665F","BONAIRE",,,,,,"BONAIRE"
"0x9830","KABINI_9830","KABINI",1,1,,,1,"KABINI"
"0x9831","KABINI_9831","KABINI",,1,,,1,"KABINI"
"0x9832","KABINI_9832","KABINI",1,1,,,1,"KABINI"
"0x9833","KABINI_9833","KABINI",,1,,,1,"KABINI"
"0x9834","KABINI_9834","KABINI",1,1,,,1,"KABINI"
"0x9835","KABINI_9835","KABINI",,1,,,1,"KABINI"
"0x9836","KABINI_9836","KABINI",1,1,,,1,"KABINI"
"0x9837","KABINI_9837","KABINI",,1,,,1,"KABINI"
"0x9838","KABINI_9838","KABINI",1,1,,,1,"KABINI"
"0x9839","KABINI_9839","KABINI",1,1,,,1,"KABINI"
"0x983A","KABINI_983A","KABINI",,1,,,1,"KABINI"
"0x983B","KABINI_983B","KABINI",1,1,,,1,"KABINI"
"0x983C","KABINI_983C","KABINI",,1,,,1,"KABINI"
"0x983D","KABINI_983D","KABINI",,1,,,1,"KABINI"
"0x983E","KABINI_983E","KABINI",,1,,,1,"KABINI"
"0x983F","KABINI_983F","KABINI",,1,,,1,"KABINI"
"0x9850","MULLINS_9850","MULLINS",1,1,,,1,"MULLINS"
"0x9851","MULLINS_9851","MULLINS",1,1,,,1,"MULLINS"
"0x9852","MULLINS_9852","MULLINS",1,1,,,1,"MULLINS"
